,Text,Label,tokenized_text
34,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,5,"[1, 39, 42, 861, 6, 313, 77, 4164, 152, 1, 64, 27, 940, 2280, 155, 24, 147, 4, 2, 324, 293, 3, 362, 152, 12, 12, 2736, 787, 15, 17, 4, 20, 424, 3, 5269, 1067, 1536, 3, 152, 1068, 862, 42, 27, 1098, 5270]"
35,i am not sure what would make me feel content if anything,5,"[1, 23, 25, 157, 53, 64, 79, 17, 2, 425, 48, 165]"
36,i have been feeling the need to be creative,5,"[1, 20, 47, 7, 5, 104, 4, 27, 457]"
37,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,5,"[1, 38, 553, 66, 30, 4, 46, 8, 48, 83, 147, 21, 1993, 30, 4, 2, 150, 124, 109, 1886, 286, 988, 161, 59, 63]"
38,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,1,"[1, 2, 6, 82, 567, 275, 4, 76, 4165, 7411, 4, 483, 15, 1773, 36, 1, 2, 6, 82, 494, 18, 53, 21, 720, 26, 48, 25, 2477, 3503]"
39,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,5,"[1, 104, 30, 1, 104, 147, 1, 104, 4, 27, 2281, 3, 2, 362, 1, 23, 467, 57, 1, 163, 50, 11, 6, 1099, 9, 95, 348]"
40,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,5,"[1, 746, 4, 345, 10, 963, 77, 891, 2478, 5271, 7412, 3, 5272, 3504, 24, 30, 3, 238, 30, 58, 116, 2, 458]"
41,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,5,"[1, 207, 20, 10, 720, 1688, 41, 1, 140, 218, 3, 23, 7, 642, 107, 1, 92, 157, 21, 7413, 17, 4, 54, 197, 29, 22, 329]"
42,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,5,"[72, 2121, 12, 256, 29, 78, 174, 24, 6, 55, 7414, 3, 15, 5, 148, 16, 7, 474, 18, 87, 66, 4, 27, 3505, 124, 78, 355]"
43,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,5,"[1, 2, 45, 892, 276, 26, 33, 68, 4166, 168, 7415, 4, 4167, 3, 79, 448, 9, 213]"
44,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0,"[1, 19, 7, 14, 513, 81, 43, 207, 7416, 2479, 4, 941, 3506, 4, 54, 132, 3065, 22, 192, 18, 81, 130, 3066, 4, 25, 54, 5, 3065, 22, 90]"
45,i was feeling listless from the need of new things something different,0,"[1, 19, 7, 704, 59, 5, 104, 9, 184, 88, 83, 544]"
46,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,5,"[1, 269, 10, 366, 314, 18, 103, 42, 1010, 1, 92, 71, 5273, 1, 31, 254, 30, 4, 2, 53, 1, 143, 186, 356, 22, 329, 1, 103, 42, 46, 52, 159, 195, 12, 19, 199, 8, 3067, 19, 366, 18, 1, 39, 4168, 30, 12, 19, 159, 37, 195, 94, 53, 1, 305, 11, 8, 5274, 126, 1, 220, 30, 97, 19, 366]"
47,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2,"[1, 39, 42, 206, 100, 9, 8, 259, 7, 8, 1, 66, 4, 27, 293, 135, 11, 22, 194, 166, 9, 568]"
48,on a boat trip to denmark,5,"[29, 6, 2737, 964, 4, 7417]"
49,i stopped feeling cold and began feeling hot,1,"[1, 1119, 7, 308, 3, 565, 7, 395]"
50,i need to feel the dough to make sure its just perfect,5,"[1, 104, 4, 2, 5, 7418, 4, 79, 157, 78, 31, 355]"
51,i found myself feeling a little discouraged that morning,0,"[1, 322, 50, 7, 6, 55, 513, 8, 236]"
52,i feel selfish and spoiled,1,"[1, 2, 426, 3, 4169]"
53,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4,"[1, 19, 7419, 6, 55, 82, 28, 1, 1100, 7, 440, 8, 1, 239, 100, 1069, 24, 5, 430, 7420]"
54,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,5,"[1, 1537, 7421, 162, 75, 89, 7422, 57, 7423, 7424, 101, 2282, 569, 7425, 5, 5275, 5276, 2283, 7426, 5, 1039, 3068, 41, 7427, 75, 89, 109, 3069, 7428, 1254, 5, 2122, 965]"
55,i feel you know basically like a fake in the realm of science fiction,0,"[1, 2, 30, 46, 1430, 13, 6, 666, 11, 5, 5277, 9, 2738, 2284]"
56,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0,"[1, 231, 406, 735, 10, 2480, 3070, 36, 12, 1211, 73, 76, 2481, 4, 27, 76, 5278, 4, 17, 36, 506, 2123, 15, 17, 4, 330, 135, 1, 69, 65, 122, 8, 65, 611, 4, 79, 17, 2, 28, 592, 28, 888, 14, 211, 299]"
57,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,3,"[1, 208, 7, 1994, 495, 32, 106, 7429, 3, 116, 106, 1431, 11, 184, 1150]"
58,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,5,"[1, 20, 22, 7, 8, 48, 1, 20, 416, 2482, 1483, 2739, 11, 5, 374, 863, 1, 7430, 8, 28, 7431, 148, 1613, 9, 17, 58, 841, 4, 816, 168]"
59,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,5,"[1, 2, 10, 459, 89, 1538, 1011, 346, 760, 28, 1, 7432, 5, 51, 4, 5279, 50, 3, 1887]"
60,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,5,"[1, 2, 11, 61, 279, 5, 1332, 11, 1689, 21, 375, 460, 5, 70, 8, 56, 95, 17, 4, 69, 21, 14, 3507]"
61,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2,"[1, 1385, 1, 91, 2, 6, 705, 3508, 1151, 283, 28, 48, 1, 19, 7, 5, 3071, 328, 222, 32, 6, 7433, 942]"
62,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4,"[1, 2, 13, 81, 43, 581, 105, 60, 747, 554, 1690, 3, 2285, 29, 5, 5280, 149, 5, 761, 3509, 34, 1995, 7434]"
63,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4,"[1, 565, 149, 63, 1040, 195, 6, 201, 7, 404, 44, 5, 7435, 802, 62, 3, 3510, 1432, 3, 5281]"
64,i am now nearly finished the week detox and i feel amazing,3,"[1, 23, 57, 1291, 893, 5, 201, 5282, 3, 1, 2, 271]"
65,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,1,"[1, 2, 426, 28, 1, 215, 99, 4, 10, 2286, 1177, 52, 1, 20, 144, 524, 15, 2483, 15, 216, 52, 1, 144, 2124, 8, 80, 221, 27, 216, 49, 80, 8, 1120, 110, 2483, 2484, 175, 10, 174]"
66,i know the pain parents feel when an enraged child becomes violent,1,"[1, 46, 5, 260, 593, 2, 33, 76, 1888, 378, 1386, 530]"
67,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0,"[1, 20, 47, 29, 6, 4170, 4171, 9, 803, 115, 108, 721, 114, 8, 83, 920, 19, 374]"
68,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2,"[1, 876, 10, 174, 921, 611, 4, 27, 1484, 1, 417, 47, 7, 45, 613, 318, 72, 7436, 37, 11, 1101, 3, 2740, 94, 1, 20, 11, 1255]"
69,i was feeling brave when i bought it and clearly when i was doing my makeup,5,"[1, 19, 7, 474, 33, 1, 1292, 12, 3, 1539, 33, 1, 19, 154, 10, 2287]"
70,i am feeling miserable but c i am also the proudest mum on earth,0,"[1, 23, 7, 392, 18, 1540, 1, 23, 116, 5, 7437, 1614, 29, 1387]"
71,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0,"[1, 1178, 10, 196, 1774, 213, 95, 449, 53, 18, 127, 243, 319, 1, 2, 466, 33, 5283, 842, 5284]"
72,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,5,"[1, 103, 42, 3072, 69, 1996, 7438, 3, 1068, 43, 1889, 11, 35, 891, 18, 1, 2, 840, 33, 1, 112, 63, 11, 2288, 5285]"
73,i can feel my ovaries aching talking to me as i like to put it,0,"[1, 39, 2, 10, 7439, 514, 531, 4, 17, 28, 1, 13, 4, 247, 12]"
74,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0,"[1, 244, 42, 2, 13, 154, 85, 2741, 3, 1, 989, 31, 594, 93, 159, 1152, 9, 706, 393]"
75,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0,"[16, 287, 9, 5, 329, 3, 595, 4, 20, 12, 49, 9, 135, 3, 1041, 49, 8, 1, 19, 695, 7440, 1691, 3, 124, 7, 1212, 15, 5, 1293, 126, 25, 507, 134]"
76,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,5,"[1, 126, 5286, 1615, 4, 3511, 6, 7441, 2742, 1, 2, 8, 22, 21, 76, 3512, 11, 1153, 15, 17, 3, 19, 6, 748, 5287, 9, 10, 508, 3, 51, 1, 58, 296, 5, 2742, 15, 418, 7442]"
77,i think feelings are one of nay the most important things we have,5,"[1, 69, 114, 43, 70, 9, 7443, 5, 133, 280, 88, 81, 20]"
78,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,5,"[1, 2, 284, 582, 4, 27, 76, 3513, 4, 22, 747, 475, 1042, 1333, 554, 320, 441]"
79,i feel angered and firey,1,"[1, 2, 1541, 3, 7444]"
80,i feel like a miserable piece of garbage,0,"[1, 2, 13, 6, 392, 843, 9, 3514]"
81,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,1,"[1, 2, 13, 1, 104, 4, 79, 6, 733, 7445, 64, 27, 1772, 32, 5, 193, 14, 8, 1, 87, 442, 165]"
82,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,1,"[1, 1775, 7446, 4, 240, 1, 19, 7, 6, 55, 82, 570, 3, 22, 21, 53, 4172, 17, 28, 1, 1290, 5, 2125]"
83,i remember feeling so hellip furious with the shooter,1,"[1, 189, 7, 14, 2485, 1485, 24, 5, 7447]"
84,i feel very happy and excited since i learned so many things,5,"[1, 2, 45, 153, 3, 267, 225, 1, 767, 14, 159, 88]"
85,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,5,"[1, 2, 8, 32, 1776, 3, 127, 367, 3073, 62, 43, 707, 3, 583, 36, 133, 367, 3073, 43, 362, 3, 1256, 3, 43, 2486, 2487]"
86,i only have a couple of things left to make and at the start of december i am done and feeling smug,5,"[1, 117, 20, 6, 612, 9, 88, 171, 4, 79, 3, 32, 5, 212, 9, 3074, 1, 23, 273, 3, 7, 804]"
87,i think about how u could make me feel and realize that everything will be ok,5,"[1, 69, 26, 52, 965, 91, 79, 17, 2, 3, 643, 8, 176, 58, 27, 340]"
88,i feel so worthless during those times i was struggling finding work,0,"[1, 2, 14, 630, 386, 142, 195, 1, 19, 1179, 1041, 123]"
89,i will be able to lay on my bed in the dark and not feel terrified at least for a while,4,"[1, 58, 27, 198, 4, 1777, 29, 10, 382, 11, 5, 1043, 3, 25, 2, 396, 32, 288, 15, 6, 186]"
90,i was ready to meet mom in the airport and feel her ever supportive arms around me,2,"[1, 19, 595, 4, 827, 459, 11, 5, 2289, 3, 2, 67, 164, 667, 894, 127, 17]"
91,im feeling bitter today my mood has been strange the entire day so i guess its that,1,"[16, 7, 628, 121, 10, 768, 98, 47, 233, 5, 1102, 96, 14, 1, 251, 78, 8]"
92,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0,"[33, 10, 7448, 1332, 990, 161, 125, 149, 47, 1213, 11, 6, 762, 1778, 65, 19, 1779, 17, 6, 1388, 28, 1, 56, 990, 10, 1480, 1065, 1780, 24, 1781, 3075]"
93,i am letting go of the animosity that is towards anyone that i feel has wronged me,1,"[1, 23, 1070, 100, 9, 5, 7449, 8, 21, 321, 243, 8, 1, 2, 98, 596, 17]"
94,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2,"[1, 279, 4, 1997, 28, 1, 2, 61, 400, 277, 348, 18, 61, 39, 215, 803, 3, 46, 52, 4, 27, 667, 1, 443, 1, 120, 100, 166]"
95,i feel like throwing away the shitty piece of shit paper,0,"[1, 2, 13, 2743, 161, 5, 468, 843, 9, 844, 1103]"
96,im starting to feel wryly amused at the banal comedy of errors my life is turning into,5,"[16, 315, 4, 2, 7450, 902, 32, 5, 7451, 3076, 9, 7452, 10, 77, 21, 1214, 105]"
97,i find every body beautiful and only want people to feel vital in their bodies,5,"[1, 163, 146, 278, 554, 3, 117, 66, 62, 4, 2, 805, 11, 110, 2290]"
98,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0,"[1, 376, 43, 5288, 75, 2, 1433, 44, 110, 5289, 5, 5289, 7453, 34, 5, 3496, 2744]"
99,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,1,"[1, 118, 3077, 4, 5, 7454, 922, 35, 259, 6, 943, 3, 1, 2, 13, 6, 1180, 1257, 36, 1486, 16, 102, 267, 4, 27, 1781, 15, 5, 194, 51, 3, 30, 46, 116, 4, 681, 6, 192, 11, 264, 749]"
100,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,2,"[1, 444, 206, 17, 378, 631, 12, 49, 36, 1, 2, 8, 346, 67, 3, 4173, 33, 97, 19, 55, 19, 86, 4, 27, 2745, 8, 117, 5290, 15, 142, 904, 191, 349]"
101,i alba i feel good and im fitting in,5,"[1, 7455, 1, 2, 101, 3, 16, 2746, 11]"
102,i feel excited about what im doing again i feel like i have a ton of catching up to do,5,"[1, 2, 267, 26, 53, 16, 154, 128, 1, 2, 13, 1, 20, 6, 2126, 9, 2488, 41, 4, 38]"
103,i also know how good it feels to look back and see that i honored my word and that helps from the start,5,"[1, 116, 46, 52, 101, 12, 122, 4, 162, 99, 3, 112, 8, 1, 582, 10, 750, 3, 8, 1487, 59, 5, 212]"
104,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0,"[1, 303, 40, 40, 249, 1154, 4, 4174, 180, 6, 644, 7456, 3078, 11, 5291, 2, 566, 405, 18, 450, 1692, 33, 1, 788, 357, 154, 5291, 3079, 257, 4175, 864, 110, 3080]"
105,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,5,"[1, 2, 13, 88, 43, 179, 6, 55, 1998, 6, 191, 5292, 9, 22, 7457, 40, 1487, 484, 3, 4176, 17]"
106,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,5,"[1, 238, 8, 30, 643, 52, 180, 55, 966, 21, 5293, 4, 79, 6, 170, 2, 169, 26, 944, 34, 110, 476, 555, 78, 17, 6, 196, 2127, 6, 923, 34, 644, 240, 250, 6, 7458, 141, 5, 1334, 34, 74, 6, 1012, 1999]"
107,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,5,"[1, 23, 7, 14, 642, 121, 8, 1, 92, 74, 86, 4, 247, 5, 1258, 41, 28, 532, 28, 1, 289, 893, 154, 22, 3, 2488, 41, 24, 5, 201, 89, 5294, 5295, 29, 7459, 1334]"
108,finding out that i am not ill not seriously,5,"[1041, 49, 8, 1, 23, 25, 211, 25, 877]"
109,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0,"[1, 126, 2747, 11, 335, 18, 6, 2291, 9, 7, 1782, 60, 373, 2486, 5, 967, 9, 878, 3, 10, 379, 201, 4177, 11, 10, 283, 943, 125, 1, 893, 5296]"
110,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,5,"[1, 2, 12, 1890, 4178, 145, 748, 556, 3, 1, 111, 1891, 4, 5, 2128, 9, 25, 1013, 165, 1389, 8, 1, 845, 27, 2000, 4, 118, 4, 7460, 301]"
111,i am feeling all useful,5,"[1, 23, 7, 35, 525]"
112,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,2,"[1, 2, 13, 68, 9, 30, 20, 2292, 3, 30, 400, 861, 1335, 276, 26, 5, 865, 34, 5, 485, 8, 21, 1993, 260]"
113,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0,"[1, 2, 584, 1, 92, 37, 3515, 4, 515, 5297, 5298, 3, 6, 5299, 94, 6, 554, 1294, 136, 1, 239, 71, 515, 6, 1542, 9, 2489, 127, 10, 358, 4, 2293, 10, 286, 3081, 164, 14, 350, 18, 1, 645, 862, 42, 1616, 4, 736, 6, 184, 1542]"
114,im not feeling homesick yet so im feeling alright about this,0,"[16, 25, 7, 533, 217, 14, 16, 7, 2747, 26, 22]"
115,i dance i should feel pretty,5,"[1, 1215, 1, 120, 2, 102]"
116,i workout every morning before and feel fabulous for it,5,"[1, 1488, 146, 236, 175, 3, 2, 708, 15, 12]"
117,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0,"[1, 2, 35, 9, 22, 31, 59, 67, 401, 25, 59, 67, 866, 34, 59, 67, 348, 18, 59, 67, 401, 1, 46, 8, 1, 39, 5300, 1181, 22, 84, 3, 46, 8, 12, 1489, 25, 27, 11, 653]"
118,i was feeling fabulous until friday morning when i started to get these awful cramps at work,5,"[1, 19, 7, 708, 331, 1216, 236, 33, 1, 197, 4, 54, 108, 486, 3082, 32, 123]"
119,i feel honoured to have been able to call them friends to share their brotherhood,5,"[1, 2, 769, 4, 20, 47, 198, 4, 387, 63, 172, 4, 345, 110, 5301]"
120,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4,"[1, 56, 1783, 4, 2, 571, 33, 2490, 1014, 1390, 2491, 5302, 105, 5, 1693, 1259, 1434]"
121,i had stated to her the reason i feel so fearful is because i feel unsafe,4,"[1, 56, 3516, 4, 67, 5, 325, 1, 2, 14, 682, 21, 36, 1, 2, 3517]"
122,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4,"[1, 244, 42, 2, 13, 179, 496, 141, 44, 5, 5303, 156, 217, 14, 1, 1694, 168, 4, 5, 465, 32, 457, 5304, 15, 6, 2001]"
123,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0,"[1, 54, 105, 2002, 1, 2, 40, 419, 3, 7461, 44, 60, 93, 5305, 34, 44, 179, 40, 1256]"
124,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,2,"[1, 23, 45, 267, 4, 407, 827, 8, 2294, 8, 2294, 75, 58, 27, 24, 17, 32, 35, 195, 290, 33, 1, 23, 363, 45, 363, 8, 2294, 75, 58, 144, 3518, 17, 8, 2294, 75, 58, 247, 106, 894, 127, 17, 3, 79, 17, 2, 265]"
125,i feel they are pretty safe on my blog img src http s,5,"[1, 2, 61, 43, 102, 362, 29, 10, 242, 924, 846, 187, 89]"
126,i feel pretty eager to get it done as i have a fun plan for quilting it,5,"[1, 2, 102, 722, 4, 54, 12, 273, 28, 1, 20, 6, 448, 746, 15, 2748, 12]"
127,i am feeling horny so i ask her that lets go home,2,"[1, 23, 7, 737, 14, 1, 483, 67, 8, 1295, 100, 166]"
128,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4,"[1, 69, 48, 6, 2492, 817, 42, 247, 1015, 29, 17, 1, 103, 42, 2, 497, 11, 5, 306, 9, 7, 37, 94, 1, 39, 2, 1217, 37, 94, 1, 39, 277, 346, 37, 94, 1, 23, 198, 4, 27, 11, 84]"
129,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,3,"[1, 93, 2, 28, 48, 1, 23, 6, 1999, 11, 6, 233, 2493, 3, 1, 23, 2129, 10, 905, 11, 6, 222, 8, 21, 25, 106, 879, 89, 5306, 166]"
130,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,5,"[1, 171, 4, 5, 1784, 2295, 53, 1, 2, 97, 19, 569, 180, 6, 683, 278, 14, 388, 11, 67, 2296, 7462, 1538]"
131,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,5,"[1, 2, 696, 3, 1296, 1, 92, 37, 94, 153, 4, 100, 4, 5, 1490, 389, 127, 684, 24, 10, 357, 34, 182, 5, 7463, 15, 6, 205, 420, 230, 1, 38, 35, 632, 11, 70, 96]"
132,i was still feeling strong,5,"[1, 19, 71, 7, 326]"
