,Question_ID,Questions,Answers,questions_encoded,answers_encoded
10,2553795,<START>how can i find a mental health professional right for my child or myself?<END>,<START>feeling comfortable with the professional you or your child is working with is critical to the success of your treatment. finding the professional who best fits your needs may require some research.<END>,"[1, 7, 4, 3, 10, 6, 8, 15, 73, 78, 19, 24, 45, 20, 74, 2]","[29, 233, 599, 13, 4, 120, 5, 7, 10, 192, 12, 272, 13, 12, 600, 1, 4, 1221, 6, 10, 53, 212, 4, 120, 45, 178, 811, 10, 273, 20, 465, 36, 159, 38]"
11,1259439,<START>if i become involved in treatment what do i need to know?<END>,"<START>beginning treatment is a big step for individuals and families and can be very overwhelming. it is important to continue involvement in the treatment process as much as possible. some questions you will need to have answered include:
what is known about the cause of this particular illness?
are there other diagnoses where these symptoms are common?
do you normally include a physical or neurological examination?
are there any additional tests or exams that you would recommend at this point?
would you advise an independent opinion from another psychiatrist at this point?
what program of treatment is the most helpful with this diagnosis?
will this program involve services by other specialists? if so, who will be responsible for coordinating these services?
what do you see as the familyâ€™s role in this program of treatment?
how much access will the family have to the individuals who are providing the treatment?
what medications are generally used with this diagnosis? what is the biological effect of this medication, and what do you expect it to accomplish? what are the risks associated with the medication? how soon will we be able to tell if the medication is effective, and how will we know?
how much experience do you have in treating individuals with this illness?
what can i do to help you in the treatment?<END>","[1, 18, 3, 75, 76, 54, 46, 5, 9, 3, 47, 17, 32, 2]","[29, 1223, 53, 12, 3, 472, 601, 9, 328, 2, 335, 2, 11, 18, 115, 812, 30, 12, 62, 1, 708, 1656, 8, 4, 53, 268, 28, 143, 28, 248, 36, 336, 5, 64, 77, 1, 24, 1224, 183, 43, 12, 704, 26, 4, 398, 6, 39, 428, 56, 15, 72, 37, 1225, 290, 96, 47, 15, 207, 61, 5, 1226, 183, 3, 153, 7, 973, 1227, 15, 72, 90, 974, 1228, 7, 1229, 16, 5, 232, 705, 27, 39, 535, 232, 5, 975, 48, 952, 603, 41, 429, 309, 27, 39, 535, 43, 138, 6, 53, 12, 4, 146, 193, 13, 39, 274, 64, 39, 138, 604, 74, 70, 37, 976, 22, 93, 45, 64, 18, 706, 9, 1230, 96, 74, 43, 61, 5, 67, 28, 4, 1231, 813, 8, 39, 138, 6, 53, 63, 143, 147, 64, 4, 57, 24, 1, 4, 328, 45, 15, 473, 4, 53, 43, 142, 15, 430, 310, 13, 39, 274, 43, 12, 4, 1232, 709, 6, 39, 124, 2, 43, 61, 5, 536, 30, 1, 1657, 43, 15, 4, 537, 463, 13, 4, 124, 63, 981, 64, 94, 18, 275, 1, 431, 22, 4, 124, 12, 522, 2, 63, 64, 94, 111, 63, 143, 73, 61, 5, 24, 8, 977, 328, 13, 39, 56, 43, 11, 84, 61, 1, 21, 5, 8, 4, 53, 38]"
12,4197817,<START>where else can i get help?<END>,"<START>where you go for help will depend on the nature of the problem and/or symptoms and what best fits you. often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals. having this social support is essential in healing from mental illness, and you will be able to ask them for referrals or recommendations for trusted mental health practitioners. search for mental health resources in your area.
secondly, there are people and places throughout nebraska that provide services to talk, to listen, and to help you on your journey to recovery. thirdly, many people find peer support a helpful tool that can aid in their recovery. there are a variety of organizations that offer support groups for consumers, their family members, and friends. some support groups are peer led while others may be led by a mental health professional.<END>","[1, 13, 115, 4, 3, 55, 16, 2]","[29, 290, 5, 163, 9, 21, 64, 1233, 23, 4, 805, 6, 4, 85, 2, 7, 47, 2, 43, 178, 811, 5, 125, 4, 178, 432, 1, 29, 12, 70, 185, 13, 80, 5, 538, 26, 10, 252, 141, 28, 3, 57, 289, 469, 1658, 1659, 474, 7, 37, 234, 308, 39, 79, 33, 12, 967, 8, 1212, 41, 17, 56, 2, 5, 64, 18, 275, 1, 130, 91, 9, 816, 7, 539, 9, 817, 17, 14, 1660, 475, 9, 17, 14, 117, 8, 10, 179, 1661, 72, 15, 19, 2, 818, 605, 1662, 16, 819, 74, 1, 60, 1, 476, 2, 1, 21, 5, 23, 10, 1234, 1, 395, 1663, 68, 19, 40, 540, 33, 3, 193, 361, 16, 11, 710, 8, 31, 395, 72, 15, 3, 814, 6, 292, 16, 126, 33, 112, 9, 820, 31, 57, 270, 2, 158, 36, 33, 112, 15, 540, 821, 118, 121, 20, 18, 821, 70, 3, 17, 14, 120, 38]"
13,3388962,<START>what should i know before starting a new medication?<END>,"<START>the best source of information regarding medications is the physician prescribing them. he or she should be able to answer questions such as:    1. what is the medication supposed to do? 2. when should it begin to take effect, and how will i know when it is effective? 3. how is the medication taken and for how long? what food, drinks, other medicines, and activities should be avoided while taking this medication? 4. what are the side effects and what should be done if they occur? 5. what do i do if a dose is missed? 6. is there any written information available about this medication? 7. are there other medications that might be appropriate? 8. if so, why do you prefer the one you have chosen? 9. how do you monitor medications and what symptoms indicate that they should be raised, lowered, or changed? 10. all medications should be taken as directed. most medications for mental illnesses do not work when taken irregularly, and extra doses can cause severe, sometimes dangerous side effects. many psychiatric medications begin to have a beneficial effect only after they have been taken for several weeks.<END>","[1, 5, 36, 3, 32, 116, 117, 6, 118, 48, 2]","[29, 4, 178, 711, 6, 51, 982, 142, 12, 4, 822, 1664, 91, 1665, 7, 1666, 176, 18, 275, 1, 983, 336, 141, 28, 151, 43, 12, 4, 124, 1667, 1, 61, 1668, 44, 176, 30, 823, 1, 116, 709, 2, 63, 64, 84, 111, 44, 30, 12, 522, 824, 63, 12, 4, 124, 825, 2, 9, 63, 168, 43, 606, 1235, 37, 1669, 2, 303, 176, 18, 1670, 118, 311, 39, 124, 826, 43, 15, 4, 337, 235, 2, 43, 176, 18, 827, 22, 25, 592, 795, 43, 61, 84, 61, 22, 3, 1236, 12, 1671, 984, 12, 72, 90, 1672, 51, 177, 26, 39, 124, 828, 15, 72, 37, 142, 16, 100, 18, 985, 541, 22, 93, 829, 61, 5, 712, 4, 52, 5, 24, 1673, 1674, 63, 61, 5, 1237, 142, 2, 43, 47, 1238, 16, 25, 176, 18, 1675, 1676, 7, 1677, 1239, 98, 142, 176, 18, 825, 28, 1240, 146, 142, 9, 17, 174, 61, 49, 86, 44, 825, 1678, 2, 433, 1679, 11, 398, 986, 338, 713, 337, 235, 68, 607, 142, 823, 1, 24, 3, 714, 709, 175, 434, 25, 24, 362, 825, 9, 608, 830, 38]"
14,5343181,"<START>if i feel better after taking medication, does this mean i am ""cured"" and can stop taking it?<END>","<START>it is not uncommon for people to stop taking their medication when they feel their symptoms are under control. others may choose to stop taking their medication because of its side effects, without realizing that most side effects can be effectively managed. while it may seem reasonable to stop taking the medication, the problem is that most often, the symptoms will return. if you or your child is taking medication, it is very important that you work together with your doctor before making decisions about any changes in your treatment.\nanother problem with stopping medication, particularly for stopping it abruptly, is that you may develop withdrawal symptoms that can be very unpleasant. if you and your doctor feel a trial off your medicine is a good idea, it is necessary to slowly decrease the dosage of medications so that these symptoms don’t occur.\nit is important that your doctor and pharmacist work together to make sure your medications are working safely and effectively. you should talk with them about how you are doing and if there are side effects that make you unwilling to continue treatment. they will work with you to develop strategies for minimizing these side effects, or will create a plan for switching to a different treatment that will be a better fit.<END>","[1, 18, 3, 79, 119, 120, 80, 48, 43, 121, 53, 3, 122, 123, 11, 4, 124, 80, 52, 2]","[29, 30, 12, 49, 1241, 9, 19, 1, 363, 311, 31, 124, 44, 25, 50, 31, 47, 15, 426, 221, 121, 20, 542, 1, 363, 311, 31, 124, 331, 6, 364, 337, 235, 200, 1680, 16, 146, 337, 235, 11, 18, 987, 1242, 118, 30, 20, 477, 1243, 1, 363, 311, 4, 124, 4, 85, 12, 16, 146, 125, 4, 47, 64, 807, 22, 5, 7, 10, 192, 12, 311, 124, 30, 12, 115, 62, 16, 5, 86, 543, 13, 10, 75, 435, 399, 478, 26, 90, 191, 8, 10, 53, 1681, 85, 13, 1244, 124, 525, 9, 1244, 30, 1682, 12, 16, 5, 20, 609, 802, 47, 16, 11, 18, 115, 1245, 22, 5, 2, 10, 75, 50, 3, 1246, 1247, 10, 1683, 12, 3, 81, 479, 30, 12, 831, 1, 1248, 1249, 4, 1250, 6, 142, 93, 16, 96, 47, 194, 592, 1684, 12, 62, 16, 10, 75, 2, 610, 86, 543, 1, 89, 365, 10, 142, 15, 272, 1685, 2, 987, 5, 176, 60, 13, 91, 26, 63, 5, 15, 832, 2, 22, 72, 15, 337, 235, 16, 89, 5, 1686, 1, 708, 53, 25, 64, 86, 13, 5, 1, 609, 236, 9, 1687, 96, 337, 235, 7, 64, 1251, 3, 201, 9, 1688, 1, 3, 54, 53, 16, 64, 18, 3, 276, 833, 38]"
15,5778437,<START>how can i get help paying for my medication?<END>,"<START>some pharmaceutical companies offer prescription assistance programs to individuals and families with financial needs, while others offer special drug discount cards. these programs typically require a doctor’s consent and proof of your financial status. they may also require that you have either no health insurance or no prescription drug benefit through your health insurance.\nin addition, there are prescription programs you might qualify for. visit healthfinder.gov to learn more.<END>","[1, 7, 4, 3, 55, 16, 81, 19, 24, 48, 2]","[29, 36, 1689, 1690, 126, 834, 436, 293, 1, 328, 2, 335, 13, 611, 273, 118, 121, 126, 835, 237, 1691, 1692, 96, 293, 1252, 465, 3, 222, 1253, 2, 1693, 6, 10, 611, 796, 25, 20, 55, 465, 16, 5, 24, 1254, 148, 14, 715, 7, 148, 834, 237, 544, 97, 10, 14, 715, 1694, 612, 72, 15, 834, 293, 5, 100, 1695, 9, 114, 1696, 836, 1, 101, 34, 38]"
16,9541219,<START>where can i go to find therapy<END>,"<START>different kinds of therapy are more effective based on the nature of the mental health condition and/or symptoms and the person who has them (for example, children will benefit from a therapist who specializes in children’s mental health). however, there are several different types of treatment and therapy that can help.<END>","[1, 13, 4, 3, 37, 17, 10, 125, 2]","[29, 54, 988, 6, 180, 15, 34, 522, 199, 23, 4, 805, 6, 4, 17, 14, 424, 2, 7, 47, 2, 4, 110, 45, 106, 91, 9, 253, 209, 64, 544, 41, 3, 480, 45, 1255, 8, 837, 17, 14, 312, 72, 15, 608, 54, 470, 6, 53, 2, 180, 16, 11, 21, 38]"
17,3268009,<START>where can i learn about types of mental health treatment?<END>,"<START>mental health conditions are often treated with medication, therapy or a combination of the two. however, there are many different types of treatment available, including complementary & alternative treatments, self-help plans, and peer support. treatments are very personal and should be discussed by the person with the mental health conditions and his or her team.<END>","[1, 13, 4, 3, 56, 25, 82, 26, 8, 15, 46, 2]","[29, 17, 14, 302, 15, 125, 596, 13, 124, 180, 7, 3, 684, 6, 4, 313, 312, 72, 15, 68, 54, 470, 6, 53, 177, 238, 1697, 989, 466, 95, 21, 545, 2, 540, 33, 466, 15, 115, 527, 2, 176, 18, 1256, 70, 4, 110, 13, 4, 17, 14, 302, 2, 990, 7, 1257, 254, 38]"
18,3340726,<START>what are the different types of mental health professionals?<END>,<START>there are many types of mental health professionals. finding the right one for you may require some research.<END>,"[1, 5, 30, 12, 126, 82, 26, 8, 15, 77, 2]","[29, 72, 15, 68, 470, 6, 17, 14, 234, 212, 4, 169, 52, 9, 5, 20, 465, 36, 159, 38]"
19,9539480,<START>where can i go to find a support group?<END>,"<START>many people find peer support a helpful tool that can aid in their recovery. there are a variety of organizations that offer support groups for consumers, their family members and friends. some support groups are peer-led, while others may be led by a mental health professional.<END>","[1, 13, 4, 3, 37, 17, 10, 6, 57, 83, 2]","[29, 68, 19, 40, 540, 33, 3, 193, 361, 16, 11, 710, 8, 31, 395, 72, 15, 3, 814, 6, 292, 16, 126, 33, 112, 9, 820, 31, 57, 270, 2, 158, 36, 33, 112, 15, 540, 821, 118, 121, 20, 18, 821, 70, 3, 17, 14, 120, 38]"
20,4211025,<START>where can i go to find inpatient care?<END>,"<START>if you or someone you know is in crisis, inpatient care can help. inpatient care can help people stabilize on new medications, adjust to new symptoms, or get the help they need.<END>","[1, 13, 4, 3, 37, 17, 10, 127, 38, 2]","[29, 22, 5, 7, 80, 5, 111, 12, 8, 613, 1258, 65, 11, 21, 1258, 65, 11, 21, 19, 1698, 23, 154, 142, 1699, 1, 154, 47, 7, 129, 4, 21, 25, 77, 38]"
21,4031860,<START>where can i go to find other local services?<END>,"<START>there are likely plenty of resources that can be used to help you find mental health treatment in your community. these resources can help you find the right therapist, and enable you to better understand viable treatment options and the treatment process.<END>","[1, 13, 4, 3, 37, 17, 10, 84, 128, 85, 2]","[29, 72, 15, 360, 1700, 6, 117, 16, 11, 18, 310, 1, 21, 5, 40, 17, 14, 53, 8, 10, 139, 96, 117, 11, 21, 5, 40, 4, 169, 480, 2, 1701, 5, 1, 276, 181, 1702, 53, 211, 2, 4, 53, 268, 38]"
